school_id,schoolName,schoolType,headerImage,address,phone,familyOfSchools,schoolLevel,grades,program,capacity,current,projection_2025_26,projection_2026_27,projection_2027_28,projection_2028_29,history_label_1,history_value_1,history_label_2,history_value_2,history_label_3,history_value_3,history_label_4,history_value_4,built,age,size,modular,air_conditioning,heating,led_lighting,catchment_migration,catchment_description,parking_spots,bus_loop,girls_washrooms,boys_washrooms,gender_neutral_washrooms,universal_washroom,elevator,accessible_parking_stalls,accessible_entrance,automatic_entrance_door_operators,childcare_infant,childcare_preschool,childcare_school_age,meta_user,meta_updated,additions,playground,provincial_buildingMove,provincial_note,provincial_requested,provincial_inProgress,provincial_completed,local_requested,local_inProgress,local_completed
glenwood,Glenwood School,School,public/glenwood.jpg,51 Blenheim Ave.,(204) 233-3619,GLENLAWN FOS,Elementary School,K-8,English Program,280,267,285,290,289,287,2020_21,172,2021_22,198,2022_23,216,2023_24,235,1910,114 years,63094 ft²,0,"Main office, staff room",Natural gas,"Gym, office, storage, classrooms (4)",-1.1%,Net annual movement in and out of catchment (5-yr. avg.),32,Required,2,2,5,Required,Required,0,YES,Required,0,15,50,CommsLRSD,2025-10-16 17:22:16,"1954|5,936 ft²||1955|9,215 ft²||1974|12,077 ft²",Play structures|Basketball action play|Basketball court|City Property: Baseball diamonds,,,New High School: Precinct K neighbourhood,Elevator|Universal washroom|Roof replacement (Partial),,Washroom renovations|Windows replacement|Exterior painting|Flooring replacement|Interlock with dust collector in maker studio|School renumbering|HVAC system|Main office renovation|Elevator|Bell tower roof repair|Front entrance ramp,Wall refinishing and repainting,Chimney repair|Pave parking lot with asphalt
hspaul,H.S. Paul School,School,public/hspaul.jpg,160 Southglen Blvd.,(204) 254-7477,DAKOTA FOS,Elementary School,K-8,English Program,375,383,350,351,375,381,2020_21,397,2021_22,394,2022_23,413,2023_24,398,1989,35 years,46558 ft²,2,"Back hallway, main building (needs repairs)","Natural gas, electric, geothermal",Room 6,-0.2%,Net annual movement in and out of catchment (5-yr. avg.),42,YES,2,2,1,YES,n/a,1,YES,YES,8,40,72,CommsLRSD,2025-10-16 17:22:16,"1991|1,502 ft² (2 modular classrooms uninhabitable)",Play structures|Swing sets|Basketball court|Basketball action play system|Baseball diamond|Soccer nets,,,New High School: Precinct K neighbourhood|Boiler replacement|Roof replacement (Partial),,Rooftop unit and Make-up Air replacement,Air conditioning installation|Cabinets and countertops in canteen,Exterior wall repair,Portable A/C unit|Coat hooks|Lockable storage cabinet|Boot racks|Intercom call button relocation|Compressor replacement
hastings,Hastings School,School,public/hastings.jpg,50 Hastings Blvd.,(204) 253-1371,DAKOTA FOS,Elementary School,K-8,English Program,260,238,260,255,254,243,2020_21,204,2021_22,198,2022_23,216,2023_24,235,1960,64 years,36100 ft²,0,Everywhere except gym,Natural gas,"Gym, hallways, main entry, offices, storage, movement room, staff washrooms, custodial room, elevator",-0.5%,Net annual movement in and out of catchment (5-yr. avg.),Not specified,YES,1,1,2,YES,YES,1,YES,YES,0,18,32,CommsLRSD,2025-10-16 17:22:16,,Basketball court|Play structure|Soccer field|Gravel track|Baseball diamond|Indigenous garden|Tether ball,,,New High School: Precinct K neighbourhood|Boiler replacement,,Elevator|Universal washroom,Student washrooms renovation|Gym air conditioning|Main floor school office relocation|Windows replacement,Exterior windows|Wall repair|Loose wiring securing,Portable A/C unit|Steps repair
highbury,Highbury School,School,public/highbury.jpg,99 Highbury Rd.,(204) 254-5078,DAKOTA FOS,Elementary School,K-8,English Program,400,450,423,425,437,440,2020_21,403,2021_22,409,2022_23,407,2023_24,438,1991,33 years,65496 ft²,0,Full building,Natural gas,"Gym, multipurpose room stage, office, hygiene room",+2.1%,Net annual movement in and out of catchment (5-yr. avg.),41,YES,4,4,2,YES,n/a,1,YES,YES,16,56,62,CommsLRSD,2025-10-16 17:22:16,"1992|13,185 ft²||1997|4,844 ft²||2001|4,456 ft²||2005|1,000 ft²||2014|4,843 ft²","City Property: Play structures, Soccer field, Basketball court, Baseball diamond",,,New High School: Precinct K neighbourhood|New Elementary School: Precinct K neighbourhood|Universal washroom|Roof replacement (Partial),,Make Up Air replacement (2)|Compressor replacement,Staff room renovation|Meeting room window|Flooring replacement|Skylight blind in multi-purpose room|Outdoor storage|School office flooring replacement|Lockers|Food and nutrition lab renovation|Metal roof and overhang repainting,,Dust collector layout reconfiguration and added electrical to accommodate the relocated equipment|Painting of all classrooms|Interlock for dust collector installation
islandlakes,Island Lakes Community School,School,public/islandlakes.jpg,445 Island Shore Blvd.,(204) 254-6247,J.H. BRUNS FOS,Elementary School,K-8,English Program,540,752,650-706,671-704,700-757,709-767,2020_21,391,2021_22,497,2022_23,585,2023_24,687,2001,23 years,59927 ft²,2,Full building,"Natural gas, electric",Classrooms (3),+9.5%,Net annual movement in and out of catchment (5-yr. avg.),36,YES,3,3,7,YES,n/a,2,YES,YES,4,62,65,CommsLRSD,2025-10-16 17:22:16,"2009|5,785 ft² (2 modular classrooms added Oct. 2024)","Play structures|Swing set|Soccer nets|Basketball action play|City Property: Basketball court, Baseball diamond, Tennis court",,,"New Elementary School: Sage Creek Bonavista (Under construction, open fall 2025)|New Elementary School: Precinct J neighbourhood|New Elementary School: Precinct K neighbourhood|New High School: Precinct K neighbourhood|Relocation of Modular Classrooms to ILCS from École Van Belleghem (summer 2025)|Additional Air Make Up unit for gym|Roof replacement (Partial)",Relocation of Modular Classrooms (2) from St. Germain,Installation of Modular Classrooms (2),Library desk trims|Air Make Up unit|Universal washroom upgrade|Canteen renovation|Main entrance benches|Washroom countertop replacements|Entrance flooring replacement|Staff room renovation,,Shelving installation|Two classrooms added to library
jhbruns,J.H. Bruns Collegiate,Collegiate,public/jhbruns.jpg,250 Lakewood Blvd.,(204) 257-2928,J.H. BRUNS FOS,High School,9-12,English Program,700,856,"1,115-1,154","1,064-1,093","992-1,003",902,2020_21,763,2021_22,762,2022_23,779,2023_24,780,1972,52 years,89638 ft²,1,"Everywhere except gym, autoshop","Natural gas, electric",Hallway,+5.8%,Net annual movement in and out of catchment (5-yr. avg.),51,YES,3,3,1,YES,YES,0,YES,YES,0,0,0,CommsLRSD,2025-10-16 17:22:16,"1976|5,785 ft²","City Property: Play structure, Wading pool, Baseball diamonds, Southdale C.",,,"New Elementary School: Sage Creek Bonavista (Under construction, open fall 2025)|New Elementary School: Precinct J neighbourhood|New Elementary School: Precinct K neighbourhood|New High School: Precinct K neighbourhood|Addition [≈26,000 ft2] with classrooms (9), Library, Fitness room, Cafeteria, Entrance (2)|Optimize staff parking|Outdoor recreation spaces|Hardcourt sports plaza|Roof replacement (Partial)",Science classroom,Universal washroom|Roof replacement (Partial)|Foundation upgrade|Roof reinforcement upgrade,HVAC system|Demising wall installation|Kitchen renovation|Windows replacement|Gym air conditioning,,Locker replacement|Cupboard removal|Painting|Flooring installation|Gym reconfiguration|Foods and nutrition room refresh|Exterior foundation wall repair
lavallee,Lavallee School,School,public/lavallee.jpg,505 St. Anne's Rd.,(204) 257-1388,DAKOTA FOS,Elementary School,K-8,English Program,210,161,192,186,183,183,2020_21,142,2021_22,149,2022_23,169,2023_24,168,1973,51 years,74214 ft²,0,Everywhere except gym,Natural gas,None,+0.1%,Net annual movement in and out of catchment (5-yr. avg.),101,Required,4,4,2,YES,n/a,1,YES,YES,0,18,22,CommsLRSD,2025-10-16 17:22:16,,Daycare play structure|Basketball court|Play structure|Tether ball area|City Property: Soccer field,,,New High School: Precinct K neighbourhood|Roof replacement (Partial),,Make Up Air & compressor replacements (2),Main office renovation|Kitchenette|HVAC system|Flooring in maker studio|Washrooms renovation|Library flooring replacement|Ceiling tiles replacement|Learning lab renovation|Parking lot paving,,Addition of parking lot|Music room complete renovation|Kitchen build|Conversion to classroom
louisrielartstech,Louis Riel Arts & Technology Centre,Centre,public/lratc.jpg,5 deBourmont Ave.,(204) 237-8951,Other,High School,"Grade 11, 12, post-secondary",Technical Vocational,331,141,N/A,N/A,N/A,N/A,2020_21,135,2021_22,118,2022_23,147,2023_24,148,1970,54 years,76050 ft²,0,"Everywhere except gym, autoshop",Natural gas,"Pastry lab, classrooms (2)",N/A,Net annual movement in and out of catchment (5-yr. avg.),66,N/A,2,2,1,Required,Required,2,YES,YES,0,0,0,CommsLRSD,2025-10-16 17:22:16,"1978|19,517 ft²",Cement patio|Tennis courts,,,Culinary arts space renovations|Esthetic facility renovations,,Roof replacement (Partial),Esthetics salon and computer lab reconfiguration|Culinary arts renovation|Universal washroom|Main office renovation|Tennis court resurfacing|Lockers|Gender-neutral washroom in Gym|Workout room|Elevator installation|HVAC system|Auto shop and plumbing shop exhaust system replacement|Ceiling acoustical spray removal/replacement in Gym|Carpeting,Add fob access (culinary arts changeroom),
marion,Marion School,School,public/marion.jpg,619 Des Meurons St.,(204) 233-2893,NELSON MCINTYRE FOS,Elementary School,K-8,English Program,250,259,357-428,322-354,296-304,263,2020_21,113,2021_22,139,2022_23,144,2023_24,218,1950,74 years,40861 ft²,0,"Office, staff room, all classrooms",Natural gas,None,-1.5%,Net annual movement in and out of catchment (5-yr. avg.),37,Required,2,2,2,YES,YES,4,YES,YES,4,16,0,CommsLRSD,2025-10-16 17:22:16,"1953|12,558 ft²||1963|6,494 ft²",Swing set|Baseball diamond|Play courts|Basketball court|Basketball nets|Play structures,,,New Elementary School: Waters Urban Village neighbourhood,Major addition|Major renovations,Building envelope|Elevator|Universal toilet room,Doors and frames replacement|School rekeying|HVAC system|Interior painting|Staff room renovation|Classrooms renovation|Student washrooms renovation|Parking lot paving|Fence installation|School bus loop|Electrical rewiring|Washrooms renovation,,Air conditioning (entire school)
minnetonka,Minnetonka School,School,public/minnetonka.jpg,200 Minnetonka St.,(204) 257-8114,GLENLAWN FOS,Elementary School,K-8,English Program,205,171,195,196,196,193,2020_21,154,2021_22,177,2022_23,138,2023_24,171,1959,65 years,41010 ft²,0,Everywhere except original building (west side),Natural gas,"Gym, hallways, boys' & girls' washrooms, classrooms (7)",+1.7%,Net annual movement in and out of catchment (5-yr. avg.),56,YES,3,3,1,YES,n/a,0,YES,Required,12,76,19,CommsLRSD,2025-10-16 17:22:16,,Basketball court|Play structure|Swing sets|Soccer nets|Basketball action play,,,New High School: Precinct K neighbourhood|Boiler replacement|Roof replacement (Partial),,,Staff room and washrooms renovation|Sink and cabinets replacement in art lab|Millwork replacement|Flooring replacement|Air conditioning|Gender-neutral washroom|Window replacement|Parking lot paving|Window installation|Soundproofing,,Cabinets addition|Lockers addition|Resurfacing main entrance
nelsonmcintyre,Nelson McIntyre Collegiate,Collegiate,public/nelsonmacintyre.jpg,188 St. Mary's Rd.,(204) 237-0219,NELSON MCINTYRE FOS,High School,9-12,English Program,650,393,424-519,420-280,404-436,386-399,2020_21,305,2021_22,316,2022_23,313,2023_24,358,1955,69 years,59927 ft²,0,"Everywhere except band room, woodshop, power mechanics",Natural gas,"Boiler room, office, storage, classrooms (3)",-1.6%,Net annual movement in and out of catchment (5-yr. avg.),62,Required,3,3,2,YES,YES,1,YES,YES,0,0,0,CommsLRSD,2025-10-16 17:22:16,"1960|4,026 ft²||1968|21,484 ft²||1973|2,050 ft²||1975|Rebuild||1986|Rebuild",Basketball court|Track & football,,,Roof replacement (Partial),,Universal washroom|Rooftop unit replacement (5)|Science classroom,Flooring replacement|Soundproofing|Gender-neutral washrooms|Lighting upgrade|HVAC system|Windows replacement|Staff room renovation|Flagpole replacement|Demising wall|School sign replacement|Bottle filling stations|Floor cutting for volleyball standards|Weight room expansion,,Automatic door opener installation|Basketball court expansion|Floor refinishing|Interlock for dust collector installation|Rooftop units replacement
niakwaplace,Niakwa Place School,School,public/niakwa.jpg,200 Pebblebeach Rd.,(204) 257-0640,J.H. BRUNS FOS,Elementary School,K-8,English Program,260,248,297,303,292,283,2020_21,262,2021_22,232,2022_23,250,2023_24,268,1974,50 years,32230 ft²,1,"Everywhere except gym, multipurpose room",Natural gas,Entire school,+2.7%,Net annual movement in and out of catchment (5-yr. avg.),40,Required,4,4,0,YES,n/a,1,YES,YES,0,20,15,CommsLRSD,2025-10-16 17:22:16,,Basketball courts|Play structures|Soccer field,,,"New Elementary School: Sage Creek Bonavista (Under construction, open fall 2025)|New Elementary School: Precinct J neighbourhood|New Elementary School: Precinct K neighbourhood|New High School: Precinct K neighbourhood|Roof replacement (Partial)|Universal washroom",,Lighting retrofits,Student drop-off and pick-up zone|Flooring replacement|Partition replacement|Washrooms renovation|Change room renovation|HVAC system|School office renovation|Exterior drainage installation|Fob reader at rear entrance|Fracture repair in front wall|Electrical outlets in modular classrooms|Stage area renovation in Gym|Supply air and exhaust,,Asphalt repair
nordale,Nordale School,School,public/nordaleschool.jpeg,99 Birchdale Ave.,(204) 237-0202,NELSON MCINTYRE FOS,Elementary School,K-8,English Program,230,180,173,176,180,177,2020_21,135,2021_22,132,2022_23,172,2023_24,170,1948,76 years,36954 ft²,0,"Main office, library",Natural gas,"Staff washroom, fan room",-2.4%,Net annual movement in and out of catchment (5-yr. avg.),32,Required,3,3,0,YES,n/a,0,Required,Required,0,18,30,CommsLRSD,2025-10-16 17:22:16,"1952|4,800 ft²||1962|2,100 ft²||1968|4,758 ft²||1971|2,346 ft²||2011|1,475 ft²",Basketball courts|Tetherball court|Four-square court|Climbing wall|Play structure|Nature playground|Soccer field|City Property: Soccer field,,,Additional Make-up Air unit for library|Roof replacement (Partial),,,Air conditioning|Air Make Up unit|Main office renovation|Staff room renovation|Art lab renovation|Staff room refresh,,Door & frame replacement
sagecreek,Sage Creek School,School,public/sagecreek.jpg,315 Sage Creek Blvd.,(204) 253-8199,J.H. BRUNS FOS,Elementary School,K-8 (transitioning to English K-8 only in 2025/26),English Program,600,654,722-821 (Eng. K-8 only),702-775 (Eng. K-8 only),668-705 (Eng. K-8 only),636-654 (Eng. K-8 only),2020_21,769,2021_22,694,2022_23,747,2023_24,787,2017,7 years,76940 ft²,0,Full building,"Geothermal, electric","Hallways, band, office, library, classrooms (6)",+6.9%,Net annual movement in and out of catchment (5-yr. avg.),48,YES,1,1,20,YES,YES,1,YES,YES,20,64,132,CommsLRSD,2025-10-16 17:22:16,,"2 Play structures|City Property: Play structure, Basketball court, Tennis court",,,"Number one priority: Addition and renovations to J.H. Bruns Collegiate to allow for transition from grade 8 to grade 9|New Elementary School: Sage Creek Bonavista (Under construction, open fall 2025)|New Elementary School: Precinct J neighbourhood|New Elementary School: Precinct K neighbourhood|New High School: Precinct K neighbourhood",,,Parking lot expansion|Sump pump spout diversion|Floor drain repair|Concrete bollards removal|School grounds redevelopment|Commons area reconfiguration|Demising wall demolition,,Lower washroom fixture height|Remove temporary partitions in commons area and makerspace areas|Reinstall equipment in makerspace and teacher space in kitchen|Demising wall|Additional access door
samuelburland,Samuel Burland School,School,public/samuelburland.jpg,192 Burland Ave.,(204) 254-0124,GLENLAWN FOS,Elementary School,K-8,English Program,450,421,374,387,399,420,2020_21,433,2021_22,454,2022_23,444,2023_24,448,1987,37 years,44208 ft²,0,Full building,"Natural gas, electric, geothermal",None,+0.6%,Net annual movement in and out of catchment (5-yr. avg.),38,YES,3,3,0,YES,n/a,2,Required,YES,0,42,63,CommsLRSD,2025-10-16 17:22:16,,Basketball court|Play structure|City Property: Baseball diamond|Play structures,,,New Elementary School: Precinct K neighbourhood|New High School: Precinct K neighbourhood|Universal washroom|Air MUA replacement (2),,,Universal washroom|Plumbing removal|Air Make Up unit|Windows replacement|Acoustic material removal|Staff room renovation|Ceiling tiles replacement|Partitions replacements|Boot racks installation|Privacy door in shower area|School rekeying|Exterior wall repair|Parking lot expansion|Flooring replacement,,Ceiling track installation|Flooring replacement|Sidewalk repair|Hallway cabinets
shamrock,Shamrock School,School,public/shamrock.png,831 Beaverhill Blvd.,(204) 257-0637,J.H. BRUNS FOS,Elementary School,K-8,English Program,640,633,299,294,298,306,2020_21,499,2021_22,563,2022_23,588,2023_24,610,1974,50 years,78185 ft²,0,"Everywhere except gym, stage",Natural gas,"Multipurpose room, music",+4.6%,Net annual movement in and out of catchment (5-yr. avg.),51,YES,8,8,5,YES,n/a,2,YES,YES,0,30,100,CommsLRSD,2025-10-16 17:22:16,"1978|39,444 ft² (Enrolment changes due to new school construction)",5 Play structures|2 Swing sets|2 Basketball courts|Shade structure|City Property: Soccer field,,,"New Elementary School: Sage Creek Bonavista (Under construction, open fall 2025)|New Elementary School: Precinct J neighbourhood|New Elementary School: Precinct K neighbourhood|New High School: Precinct K neighbourhood|Air MUA replacement (2)|Universal washroom",Building envelope replacement,Roof replacement (Partial),Gender-neutral washrooms|HVAC system|Parking reconfiguration and parent drop-off zone|School office renovation|Accordion wall removal and permanent wall construction|Millwork and ceiling replacement|Gym office spaces renovation|Lockers replacement|Hallways painting|Berm removal on playground,,"Removal of counters, sinks, cupboards (old science lab)|New foods and nutrition lab construction|Universal washroom update|Ceiling track installation, Door & frame replacement|Plumbing improvements|Room 13 converted to kindergarten classroom|Lockers (75)"
stgeorge,St. George School,School,public/stgeorge.jpg,151 St. George Rd.,(204) 253-2646,GLENLAWN FOS,Elementary School,K-6 (Grades 7 & 8 moved to Windsor School in 2024-25),English Program,410,344,361,385,393,401,2020_21,327,2021_22,327,2022_23,377,2023_24,439,1954,70 years,47767 ft²,0,None,Natural gas,Classrooms (3),-2.7%,Net annual movement in and out of catchment (5-yr. avg.),22,YES,3,3,4,Required,n/a,0,YES,Required,0,0,30,CommsLRSD,2025-10-16 17:22:16,,Play structures|Basketball net|Basketball court|City Property: Play structure|Soccer field|St. George Park,,,New High School: Precinct K neighbourhood|Elevator|Universal washroom,,Roof replacement (Partial),Play structure|Staff parking lot expansion|Windows replacement|Kindergarten Room renovation|Flooring replacement|Air conditioning|Student drop-off and pick-up zone|Universal washroom|Elevator|School office renovation|Staff room renovation,,Floor refinishing|General renovations|Cabinet installation
victorhlwyatt,Victor H.L. Wyatt School,School,public/victorwyatt.jpg,485 Meadowood Dr.,(204) 255-7880,DAKOTA FOS,Elementary School,K-8,English Program,325,317,370,372,350,336,2020_21,224,2021_22,260,2022_23,284,2023_24,310,1979,45 years,63900 ft²,0,"Everywhere except gym, autoshop, woods and graphic arts",Natural gas,None,+2.0%,Net annual movement in and out of catchment (5-yr. avg.),52,Required,5,5,4,YES,YES,2,YES,YES,0,5,57,CommsLRSD,2025-10-16 17:22:16,,Soccer field|Basketball hardtop|Baseball diamond,,,New High School: Precinct K neighbourhood|Roof replacement (Partial),,,Flooring replacement|Staff room renovation|School office renovation|Basketball court renewal|Gym bleachers replacement|Air conditioning|Parking lot paving|Wood shop renovation|Metals shop renovation|Graphic arts renovation|Countertop replacement in student services office,,Flooring tile installation|Repaint floors|Door & frame replacement
victormager,Victor Mager School,School,public/victormager.jpg,81 Beliveau Rd.,(204) 253-9873,DAKOTA FOS,Elementary School,K-8,English Program,420,402,351,359,378,392,2020_21,330,2021_22,337,2022_23,375,2023_24,404,1959,65 years,43879 ft²,0,"Everywhere except gym, Boys & Girls Club, original building classrooms (south)",Natural gas,None,-6.7%,Net annual movement in and out of catchment (5-yr. avg.),50,Required,3,3,2,YES,n/a,1,Required,Required,0,8,29,CommsLRSD,2025-10-16 17:22:16,"1970|19,475 ft²",Soccer fields|Swing sets|Play structures|Basketball court|Running track,,,New High School: Precinct K neighbourhood|Universal washroom|Roof replacement (Partial),,,Air conditioning in south wing and Gym|Gym bleachers|Electronic board and school sign replacement|Lockers|Parking lot paving|School bus loop|Ceiling and lights|Universal washroom|Millwork replacement in family centre|Classrooms renovation|Front entrance ramp,,Cabinet removal|Lockers for staff|General repairs (front entrance)|Room reconfiguration for washer & dryer|Toilet & sink installation
windsorpark,Windsor Park Collegiate,Collegiate,public/windsorpark.jpg,1015 Cottonwood Rd.,(204) 256-7316,WINDSOR PARK FOS,High School,9-12,English Program,700,709,507-567,506-561,611-672,659-711,2020_21,605,2021_22,670,2022_23,702,2023_24,726,1959,65 years,105000 ft²,0,Everywhere except gym 1,Natural gas,Entire school,+2.5%,Net annual movement in and out of catchment (5-yr. avg.),100,Required,6,6,2,YES,YES,1,YES,YES,0,0,0,CommsLRSD,2025-10-16 17:22:16,"1965|10,162 ft²||1969|20,922 ft²",Basketball court|Tennis courts|City Property: Baseball diamond|Soccer field,,,Washrooms (for 1015 Cottonwood Rd.)|Fitness room (for 1015 Cottonwood Rd.)|Band/guitar rooms (for 1015 Cottonwood Rd.)|Classrooms (4) (for 1015 Cottonwood Rd.)|Entrance (for 1015 Cottonwood Rd.)|Office (for 1015 Cottonwood Rd.)|Cafeteria (for 1015 Cottonwood Rd.)|Roof replacement (Partial) (for 1015 Cottonwood Rd.)|Additional Air Make Up unit to gym (for 1015 Cottonwood Rd.),,,Gym floor refinishing|Foods and nutrition labs renovation|School rekeying|Windows replacement,Science classroom,Lighting Retrofit
windsor,Windsor School,School,public/windsorschool.jpg,80 Cunnington Ave.,(204) 237-4057,GLENLAWN FOS,Elementary School,K-8 (Includes Grades 7 & 8 students relocated from St. George School),English Program,260,235,274,260,255,247,2020_21,154,2021_22,134,2022_23,138,2023_24,140,1922,102 years,36576 ft²,1,"Everywhere except gym, tautum room",Natural gas,"Gym, office, conference room, hallway, hallway, art room",+0.2%,Net annual movement in and out of catchment (5-yr. avg.),19,Required,5,5,2,Required,n/a,1,YES,YES,0,0,15,CommsLRSD,2025-10-16 17:22:16,1957|||1961|||1964|,Basketball courts|Play structures|Tetherball post|Basketball action play|City Property: Soccer field,,,New High School: Precinct K neighbourhood|New building envelope|New windows|Structural reinforcement|Roof replacement (Partial),,Boiler replacement|Direct Digital Control for HVAC system installation,Sidelights in classrooms|Front entrance ramp|Universal washroom|Classroom reconfiguration into movement room|Sink|Washrooms renovation|Staff washroom renovation|Window in main office,,Parking lot paving|General renovations|Door replacement
