school_id,schoolName,schoolType,headerImage,address,phone,familyOfSchools,schoolLevel,,program,capacity,current,projection_2026_27,projection_2027_28,projection_2028_29,projection_2029_30,history_label_1,history_value_1,history_label_2,history_value_2,history_label_3,history_value_3,history_label_4,history_value_4,built,,size,modular,,,,,catchment_description,parking_spots,bus_loop,girls_washrooms,boys_washrooms,gender_neutral_washrooms,universal_washroom,elevator,accessible_parking_stalls,accessible_entrance,automatic_entrance_door_operators,childcare_infant,childcare_preschool,childcare_school_age,meta_user,meta_updated,additions
archwood,Archwood School,School,public/archwood.jpg,800 Archibald St.,(204) 233-7983,NELSON MCINTYRE FOS,Elementary School,,English Program,210,162,156,144,142,136,2021_22,199,2022_23,229,2023_24,195,2024_25,184,1952,,28513 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),Not specified,NO,3,3,1,YES,n/a,1,YES,YES,0,0,24,CommsLRSD,10/16/2025 17:22,"1954|5,104 ftÂ²||1967|2,829 ftÂ²||1971|5,898 ftÂ²||1975|352 ftÂ²"
beliveau,CollÃ¨ge BÃ©liveau,CollÃ¨ge,public/beliveau.jpg,296 Speers Rd.,(204) 255-3205,BÃ‰LIVEAU FOS,High School,,French Immersion,650,672,699,763,828,898,2021_22,649,2022_23,651,2023_24,649,2024_25,680,1956,,86387 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),64,Inaccessible,6,6,2,YES,YES,0,YES,YES,N/A,N/A,N/A,CommsLRSD,10/16/2025 17:22,"1961|21,125 ftÂ²||1964|9,635 ftÂ²||1967|28,335 ftÂ²||1994|2,701 ftÂ²"
cjs,CollÃ¨ge Jeanne-SauvÃ©,CollÃ¨ge,public/cjs.jpg,1128 Dakota St.,(204) 257-0124,JEANNE-SAUVÃ‰ FOS,High School,,French Immersion,900,844,935,910,893,906,2021_22,684,2022_23,687,2023_24,750,2024_25,847,1989,,91566 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),129,YES,3,3,6,YES,YES,2,YES,YES,N/A,N/A,N/A,CommsLRSD,10/16/2025 17:22,"1999|replaced by 2023 addition||2017|3,929 ftÂ² /cafeteria, foyer||2023|26,500 ftÂ² / 16 classrooms, music room"
dakota,Dakota Collegiate,School,public/dakota.jpg,661 Dakota St.,(204) 256-4366,DAKOTA FOS,High School,,English Program,1025,1509,1532,1575,1599,1579,2021_22,1201,2022_23,1342,2023_24,1400,2024_25,1490,1962,,127040 ftÂ²,2,,,,,Net annual movement in and out of catchment (5-yr. avg.),177,Required,4,4,2,YES,YES,1,YES,YES,N/A,N/A,N/A,CommsLRSD,10/16/2025 17:22,"1970|31,179 ftÂ²||2016|2,200 ftÂ² /fitness centre"
darwin,Darwin School,School,public/darwin.jpg,175 Darwin St.,(204) 257-2904,DAKOTA FOS,Elementary School,,English Program,360,229,203,207,196,200,2021_22,230,2022_23,303,2023_24,292,2024_25,279,1973,,54149 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),32,Required,4,4,2,YES,n/a,2,YES,Required,0,10,45,CommsLRSD,10/16/2025 17:22,
drdwpenner,Dr. D.W. Penner School,School,public/penner.jpg,121 Hazelwood Cres.,(204) 256-1135,GLENLAWN FOS,Elementary School,,English Program,290,255,263,263,252,248,2021_22,168,2022_23,198,2023_24,213,2024_25,227,1975,,39542 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),30,Required,2,2,1,YES,n/a,1,YES,Required,0,15,45,CommsLRSD,10/16/2025 17:22,"1976|12,261 ftÂ²"
ecolegeorgemcdowell,Ã‰cole George-McDowell,Ã‰cole,public/georgemcdowell.jpg,366 Paddington Rd.,(204) 253-1492,JEANNE-SAUVÃ‰ FOS,Elementary School,,French Immersion,375,364,341,376,376,369,2021_22,399,2022_23,374,2023_24,391,2024_25,345,1983,,46289 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),30,Required,2,2,1,YES,n/a,1,YES,YES,0,0,0,CommsLRSD,10/16/2025 17:22,"1985|3,922 ftÂ²||1986|8,826 ftÂ²"
ecoleguyot,Ã‰cole Guyot,Ã‰cole,public/guyot.jpg,400 Willowlake Cres.,(204) 257-2540,BÃ‰LIVEAU FOS,Elementary School,,French Immersion,435,423,428,411,393,389,2021_22,410,2022_23,425,2023_24,434,2024_25,430,1974,,43253 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),39,YES,3,3,2,Required,n/a,1,YES,YES,0,18,57,CommsLRSD,10/16/2025 17:22,"1986|4,195 ftÂ²||2017|2,271 ftÂ²"
ecolehenribergeron,Ã‰cole Henri-Bergeron,Ã‰cole,public/henribergeron.jpg,363 Enfield Cres.,(204) 233-7079,BÃ‰LIVEAU FOS,Elementary School,,French Immersion & Middle Immersion,350,310,329,311,331,336,2021_22,259,2022_23,212,2023_24,230,2024_25,222,1962,,40350 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),Not specified,Required,2,2,1,Required,Required,0,YES,Required,0,0,21,CommsLRSD,10/16/2025 17:22,
ecolehowden,Ã‰cole Howden,Ã‰cole,public/howden.jpg,150 Howden Rd.,(204) 257-0656,BÃ‰LIVEAU FOS,Elementary School,,French Immersion,405,307,307,294,284,274,2021_22,322,2022_23,368,2023_24,398,2024_25,421,1964,,34087 ftÂ²,2,,,,,Net annual movement in and out of catchment (5-yr. avg.),33,YES,1,1,2,YES,n/a,0,YES,YES,0,12,23,CommsLRSD,10/16/2025 17:22,"1967|19,753 ftÂ²"
ecolejulieriel,Ã‰cole Julie-Riel,Ã‰cole,public/julieriel.jpeg,316 Ashworth St.,(204) 253-2363,JEANNE-SAUVÃ‰ FOS,Elementary School,,French Immersion & Middle Immersion,355,349,340,305,287,270,2021_22,341,2022_23,353,2023_24,357,2024_25,364,1995,,45249 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),33,YES,2,2,0,Required,n/a,1,YES,YES,0,0,60,CommsLRSD,10/16/2025 17:22,
ecolemarieannegaboury,Ã‰cole Marie-Anne-Gaboury,Ã‰cole,public/marieannegaboury.jpg,95 Pulberry St.,(204) 253-9704,JEANNE-SAUVÃ‰ FOS,Elementary School,,French Immersion,480,421,419,428,420,414,2021_22,393,2022_23,401,2023_24,416,2024_25,427,1957,,53300 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),40,YES,5,4,1,YES,n/a,1,YES,Required,0,23,41,CommsLRSD,10/16/2025 17:22,"1969|36,100 ftÂ²"
ecoleprovencher,Ã‰cole Provencher,Ã‰cole,public/provencher.jpg,320 ave de la Cathedrale,(204) 233-0222,BÃ‰LIVEAU FOS,Elementary School,,French Immersion,295,290,270,267,252,239,2021_22,256,2022_23,285,2023_24,293,2024_25,290,1924,,71776 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),32,Required,2,2,3,YES,Required,0,Required,Required,0,29,88,CommsLRSD,10/16/2025 17:22,"1929|21,460 ftÂ² (Rebuilt after 1923 fire)"
ecolesagecreekbonavista,Ã‰cole Sage Creek Bonavista,Ã‰cole,public/sagecreekbonavista.png,355 Des Hivernants Blvd.,Board Office,BÃ‰LIVEAU FOS,Elementary School,,French Immersion Program,815,816,912,980,1044,1107,2021_22,0,2022_23,0,2023_24,0,2024_25,0,2025,,103548 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),Not specified,YES,1,1,24,YES,YES,9,YES,YES,0,0,0,CommsLRSD,10/16/2025 17:22,
ecolestgermain,Ã‰cole St. Germain,Ã‰cole,public/stgermain.jpg,77 John Forsyth Rd.,(204) 254-0120,JEANNE-SAUVÃ‰ FOS,Elementary School,,French Immersion,400,378,368,322,288,268,2021_22,469,2022_23,471,2023_24,427,2024_25,398,1987,,43258 ftÂ²,2,,,,,Net annual movement in and out of catchment (5-yr. avg.),Not specified,YES,2,2,0,1,n/a,0,YES,NO,0,32,33,CommsLRSD,10/16/2025 17:22,
ecolevanbelleghem,Ã‰cole Van Belleghem,Ã‰cole,public/vanbelleghem.jpg,10 Vermillion Rd.,(204) 255-1134,BÃ‰LIVEAU FOS,Elementary School,,French Immersion,320,318,337,350,348,348,2021_22,416,2022_23,432,2023_24,447,2024_25,450,1967,,37212 ftÂ²,2,,,,,Net annual movement in and out of catchment (5-yr. avg.),20,YES,1,1,2,Required,n/a,1,YES,YES,0,19,28,CommsLRSD,10/16/2025 17:22,"1968|15,486 ftÂ²"
ecolevarennes,Ã‰cole Varennes,Ã‰cole,public/varennes.png,22 Varennes Ave.,(204) 253-1375,JEANNE-SAUVÃ‰ FOS,Elementary School,,French Immersion,425,353,356,375,370,359,2021_22,370,2022_23,358,2023_24,382,2024_25,421,1951,,38400 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),38,Required,2,2,1,Required,Required,2,YES,Required,0,0,37,CommsLRSD,10/16/2025 17:22,"1953|8,103 ftÂ²||1959|18,954 ftÂ²||1976|1,525 ftÂ² (Flood relief building, intended to last 20 years)"
frontenac,Frontenac School,School,public/frontenac.jpg,866 Autumnwood Dr.,(204) 257-0609,WINDSOR PARK FOS,Elementary School,,English Program,475,398,403,419,402,377,2021_22,454,2022_23,426,2023_24,406,2024_25,407,1956,,56965 ftÂ²,2,,,,,Net annual movement in and out of catchment (5-yr. avg.),55,Required,4,4,4,YES,YES,1,YES,YES,0,30,30,CommsLRSD,10/16/2025 17:22,"1959|16,000 ftÂ²||1964|5,000 ftÂ²||1970|13,865 ftÂ²||1986|1,050 ftÂ²||1987|1,050 ftÂ²"
generalvanier,General Vanier School,School,public/generalvanier.jpg,18 Lomond Blvd.,(204) 255-1400,WINDSOR PARK FOS,Elementary School,,English Program,280,218,219,219,211,200,2021_22,247,2022_23,251,2023_24,261,2024_25,237,1961,,50644 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),39,YES,4,4,4,YES,YES,0,YES,YES,0,30,35,CommsLRSD,10/16/2025 17:22,"1963|26,000 ftÂ²||1969|8,644 ftÂ²"
glenlawn,Glenlawn Collegiate,Collegiate,public/glenlawn.jpg,770 St. Mary's Rd.,(204) 233-3986,GLENLAWN FOS,High School,,English Program,1000,1000,1056,1020,1030,1045,2021_22,886,2022_23,911,2023_24,1059,2024_25,1105,1949,,140850 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),110,Required,5,5,9,1,Partial,5,YES,YES,0,0,0,CommsLRSD,10/16/2025 17:22,1956|||1965|||1972|||1975|||1997|Rebuild
glenwood,Glenwood School,School,public/glenwood.jpg,51 Blenheim Ave.,(204) 233-3619,GLENLAWN FOS,Elementary School,,English Program,325,281,276,291,295,290,2021_22,198,2022_23,216,2023_24,235,2024_25,266,1910,,63094 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),32,Required,2,2,5,Required,Required,0,YES,Required,0,15,50,CommsLRSD,10/16/2025 17:22,"1954|5,936 ftÂ²||1955|9,215 ftÂ²||1974|12,077 ftÂ²"
hspaul,H.S. Paul School,School,public/hspaul.jpg,160 Southglen Blvd.,(204) 254-7477,DAKOTA FOS,Elementary School,,English Program,425,364,353,336,325,323,2021_22,394,2022_23,413,2023_24,398,2024_25,383,1989,,46558 ftÂ²,2,,,,,Net annual movement in and out of catchment (5-yr. avg.),42,YES,2,2,1,YES,n/a,1,YES,YES,8,40,72,CommsLRSD,10/16/2025 17:22,"1991|1,502 ftÂ² (2 modular classrooms uninhabitable)"
hastings,Hastings School,School,public/hastings.jpg,50 Hastings Blvd.,(204) 253-1371,DAKOTA FOS,Elementary School,,English Program,280,207,212,210,203,196,2021_22,198,2022_23,216,2023_24,235,2024_25,234,1960,,36100 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),Not specified,YES,1,1,2,YES,YES,1,YES,YES,0,18,32,CommsLRSD,10/16/2025 17:22,
highbury,Highbury School,School,public/highbury.jpg,99 Highbury Rd.,(204) 254-5078,DAKOTA FOS,Elementary School,,English Program,445,411,384,379,362,350,2021_22,409,2022_23,407,2023_24,438,2024_25,450,1991,,65496 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),41,YES,4,4,2,YES,n/a,1,YES,YES,16,56,62,CommsLRSD,10/16/2025 17:22,"1992|13,185 ftÂ²||1997|4,844 ftÂ²||2001|4,456 ftÂ²||2005|1,000 ftÂ²||2014|4,843 ftÂ²"
islandlakes,Island Lakes Community School,School,public/islandlakes.jpg,445 Island Shore Blvd.,(204) 254-6247,J.H. BRUNS FOS,Elementary School,,English Program,790,710,714,769,781,805,2021_22,497,2022_23,585,2023_24,687,2024_25,750,2001,,59927 ftÂ²,2,,,,,Net annual movement in and out of catchment (5-yr. avg.),36,YES,3,3,7,YES,n/a,2,YES,YES,4,62,65,CommsLRSD,10/16/2025 17:22,"2009|5,785 ftÂ² (2 modular classrooms added Oct. 2024)"
jhbruns,J.H. Bruns Collegiate,Collegiate,public/jhbruns.jpg,250 Lakewood Blvd.,(204) 257-2928,J.H. BRUNS FOS,High School,,English Program,700,978,1042,1121,1172,1160,2021_22,762,2022_23,779,2023_24,780,2024_25,856,1972,,89638 ftÂ²,1,,,,,Net annual movement in and out of catchment (5-yr. avg.),51,YES,3,3,1,YES,YES,0,YES,YES,0,0,0,CommsLRSD,10/16/2025 17:22,"1976|5,785 ftÂ²"
lavallee,Lavallee School,School,public/lavallee.jpg,505 St. Anne's Rd.,(204) 257-1388,DAKOTA FOS,Elementary School,,English Program,210,176,171,184,180,187,2021_22,149,2022_23,169,2023_24,168,2024_25,161,1973,,74214 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),101,Required,4,4,2,YES,n/a,1,YES,YES,0,18,22,CommsLRSD,10/16/2025 17:22,
louisrielartstech,Louis Riel Arts & Technology Centre,Centre,public/lratc.jpg,5 deBourmont Ave.,(204) 237-8951,Other,High School,,Technical Vocational,331,178,165,163,164,166,2021_22,118,2022_23,147,2023_24,148,2024_25,141,1970,,76050 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),66,N/A,2,2,1,Required,Required,2,YES,YES,0,0,0,CommsLRSD,10/16/2025 17:22,"1978|19,517 ftÂ²"
marion,Marion School,School,public/marion.jpg,619 Des Meurons St.,(204) 233-2893,NELSON MCINTYRE FOS,Elementary School,,English Program,300,253,254,267,267,266,2021_22,139,2022_23,144,2023_24,218,2024_25,259,1950,,40861 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),37,Required,2,2,2,YES,YES,4,YES,YES,4,16,0,CommsLRSD,10/16/2025 17:22,"1953|12,558 ftÂ²||1963|6,494 ftÂ²"
minnetonka,Minnetonka School,School,public/minnetonka.jpg,200 Minnetonka St.,(204) 257-8114,GLENLAWN FOS,Elementary School,,English Program,230,172,171,165,167,163,2021_22,177,2022_23,138,2023_24,171,2024_25,171,1959,,41010 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),56,YES,3,3,1,YES,n/a,0,YES,Required,12,76,19,CommsLRSD,10/16/2025 17:22,
nelsonmcintyre,Nelson McIntyre Collegiate,Collegiate,public/nelsonmacintyre.jpg,188 St. Mary's Rd.,(204) 237-0219,NELSON MCINTYRE FOS,High School,,English Program,650,401,410,404,425,414,2021_22,316,2022_23,313,2023_24,358,2024_25,387,1955,,59927 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),62,Required,3,3,2,YES,YES,1,YES,YES,0,0,0,CommsLRSD,10/16/2025 17:22,"1960|4,026 ftÂ²||1968|21,484 ftÂ²||1973|2,050 ftÂ²||1975|Rebuild||1986|Rebuild"
niakwaplace,Niakwa Place School,School,public/niakwa.jpg,200 Pebblebeach Rd.,(204) 257-0640,J.H. BRUNS FOS,Elementary School,,English Program,260,213,215,213,196,196,2021_22,232,2022_23,250,2023_24,268,2024_25,248,1974,,32230 ftÂ²,1,,,,,Net annual movement in and out of catchment (5-yr. avg.),40,Required,4,4,0,YES,n/a,1,YES,YES,0,20,15,CommsLRSD,10/16/2025 17:22,
nordale,Nordale School,School,public/nordaleschool.jpeg,99 Birchdale Ave.,(204) 237-0202,NELSON MCINTYRE FOS,Elementary School,,English Program,230,174,185,194,186,190,2021_22,132,2022_23,172,2023_24,170,2024_25,180,1948,,36954 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),32,Required,3,3,0,YES,n/a,0,Required,Required,0,18,30,CommsLRSD,10/16/2025 17:22,"1952|4,800 ftÂ²||1962|2,100 ftÂ²||1968|4,758 ftÂ²||1971|2,346 ftÂ²||2011|1,475 ftÂ²"
sagecreek,Sage Creek School,School,public/sagecreek.jpg,315 Sage Creek Blvd.,(204) 253-8199,J.H. BRUNS FOS,Elementary School,,English Program,660,645,640,642,627,620,2021_22,694,2022_23,747,2023_24,787,2024_25,772,2017,,76940 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),48,YES,1,1,20,YES,YES,1,YES,YES,20,64,132,CommsLRSD,10/16/2025 17:22,
samuelburland,Samuel Burland School,School,public/samuelburland.jpg,192 Burland Ave.,(204) 254-0124,GLENLAWN FOS,Elementary School,,English Program,445,402,379,378,369,359,2021_22,454,2022_23,444,2023_24,448,2024_25,421,1987,,44208 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),38,YES,3,3,0,YES,n/a,2,Required,YES,0,42,63,CommsLRSD,10/16/2025 17:22,
shamrock,Shamrock School,School,public/shamrock.png,831 Beaverhill Blvd.,(204) 257-0637,J.H. BRUNS FOS,Elementary School,,English Program,525,344,323,319,316,289,2021_22,563,2022_23,588,2023_24,610,2024_25,634,1974,,78185 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),51,YES,8,8,5,YES,n/a,2,YES,YES,0,30,100,CommsLRSD,10/16/2025 17:22,"1978|39,444 ftÂ² (Enrolment changes due to new school construction)"
stgeorge,St. George School,School,public/stgeorge.jpg,151 St. George Rd.,(204) 253-2646,GLENLAWN FOS,Elementary School,,English Program,385,349,354,377,369,371,2021_22,327,2022_23,377,2023_24,439,2024_25,344,1954,,47767 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),22,YES,3,3,4,Required,n/a,0,YES,Required,0,0,30,CommsLRSD,10/16/2025 17:22,
victorhlwyatt,Victor H.L. Wyatt School,School,public/victorwyatt.jpg,485 Meadowood Dr.,(204) 255-7880,DAKOTA FOS,Elementary School,,English Program,375,281,287,280,271,276,2021_22,260,2022_23,284,2023_24,310,2024_25,312,1979,,63900 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),52,Required,5,5,4,YES,YES,2,YES,YES,0,5,57,CommsLRSD,10/16/2025 17:22,
victormager,Victor Mager School,School,public/victormager.jpg,81 Beliveau Rd.,(204) 253-9873,DAKOTA FOS,Elementary School,,English Program,420,377,379,371,349,327,2021_22,337,2022_23,375,2023_24,404,2024_25,401,1959,,43879 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),50,Required,3,3,2,YES,n/a,1,Required,Required,0,8,29,CommsLRSD,10/16/2025 17:22,"1970|19,475 ftÂ²"
windsorpark,Windsor Park Collegiate,Collegiate,public/windsorpark.jpg,1015 Cottonwood Rd.,(204) 256-7316,WINDSOR PARK FOS,High School,,English Program,700,599,556,449,445,452,2021_22,670,2022_23,702,2023_24,726,2024_25,703,1959,,105000 ftÂ²,0,,,,,Net annual movement in and out of catchment (5-yr. avg.),100,Required,6,6,2,YES,YES,1,YES,YES,0,0,0,CommsLRSD,10/16/2025 17:22,"1965|10,162 ftÂ²||1969|20,922 ftÂ²"
windsor,Windsor School,School,public/windsorschool.jpg,80 Cunnington Ave.,(204) 237-4057,GLENLAWN FOS,Elementary School,,English Program,260,234,234,244,248,255,2021_22,134,2022_23,138,2023_24,140,2024_25,234,1922,,36576 ftÂ²,1,,,,,Net annual movement in and out of catchment (5-yr. avg.),19,Required,5,5,2,Required,n/a,1,YES,YES,0,0,15,CommsLRSD,10/16/2025 17:22,1957|||1961|||1964|
