school_id,requested,inProgress,completed
archwood,Main office renovation | Air conditioning installation | DDC system | Office renovation completion | Flooring and hallway wall refinishing | Classrooms renovation | Library flooring | Music room renovation | Room 10 renovation | Kitchen redesign | Renovate Staff Room | Student and Staff Washroom Renovation | Repaint and new lighting in Front Foyer | Replace Rear Door and Frame,,Community kitchen electrical upgrades | Kitchen island addition | Cupboards | Gym girls change room modification | Bottle filling station addition | Boys change room renewal | Replace Public Address System | Repair of cracks in Terrazo floor | Installed Portable Air Conditioning units | Fence installation | Design Concept of all washrooms
beliveau,Gender-neutral washroom | DDC system | Air Make Up unit | Gym office spaces | Staff washroom renovation | Windows replacement | Blackboards removal | Flooring and ceiling | Office area redesign | Canteen shutter door lock relocation | Parking lot and staircase repair | Lockers | Washrooms renovation | Long Jump Pit and Track Extension,"Lighting in science wing, library, and Grade 7/8 classrooms",Removal of raised teachers desks | Refinish gym floor | Concrete stairs repair | Door & frame replacement | Lighting Upgrade in the north section and second floor
cjs,"Renovate Room 104 to create Home Ecology Classroom | Replace Gym Floor | Replace Gym Bleachers | Repaint Gym | School field redevelopment | Girls' washroom renovation | Domestic piping replacement in crawlspace | Lighting upgrade in all classrooms, hallways, and gymnasium | Elevator or lift for mezzanine access and replace railing | Accessible door operators for washrooms and southeast parking lot door | Bike Cage | Renovate Boy's Change Room",,Exterior level landing for cafeteria doors | Library flooring replacement | Hallways and door trims repainting | Design Concept plan for School Field Redevelopment | Gymnasium floor refinishing
dakota,Washroom reconfigurations to gender-neutral | Atrium | Accessible gymnasium door | Kitchen | Art room ceiling | Shower stalls removal from change rooms | Lighting upgrade in entire school | DDC system | Automotive shop upgrade | Locking hardware replacement | Electrical outlets in Electronics | Door replacements | Indigenous student spaces | Individualized programming students spaces | Guitar room soundproofing,,Flooring replacement | Asphalt repair | Reverse Door from Gymnasium to Fitness room
darwin,Dark room removal | Flooring replacement | Windows replacement | Foods and nutrition lab renovation | Universal washrooms to meet current accessibility standards* | Additional Parking spots,,Flooring removal & tile installation | Lighting upgrade in Office | Build demising wall between Room 8 and 9
drdwpenner,Lighting upgrade | Upgrade staff work stations | Staff room renovation | Flooring replacement | Washrooms partitions replacement,,"Paving of parking lot | Install Bottle Filling Station | Removed boot racks and installed lockers in the north east and north west entrances | Renovated Principal's and Vice Principal's Office, Create Copier Room | LRTA office reconfiguration into classroom"
ecolegeorgemcdowell,Library flooring replacement | Pave existing gravel parking lot | Flooring replacement | Washroom countertops replacement | Ceiling tiles replacement | Soundproofing in guitar room | Universal washrooms to meet current accessibility standards* | Replace hallway lighting | Pave the hardsurface play area | Renovate Staff Washrooms,,Classroom window replacements (Rms. 11-20) | Flooring removal & tile installation (Rm. 15) | Classrooms (2) and hallway flooring | Replaced flooring in Library
ecoleguyot,Staff room renovation | Gender-neutral washroom | Library flooring | Boys' washroom renovation | DDC system | Universal washroom renovations planned for south side of school (summer 2026),,Replaced PA System | Flooring replacement | Acoustic material removal | Door & frame replacement | Video Intercom system relocation | Electrical outlet installation
ecolehenribergeron,DDC system | Main office renovations | Staff room renovation | Student washrooms renovations | Phys-ed office shower | Lighting and ceiling tiles upgrade | Tectum installation in gymnasium | Replace Flooring in Change Room | New curtain for Gym | Create Office in Student Services Room,,Privacy curtains (shower & changerooms) | Window replacements | Flooring removal | Entrance concrete landing replacement | Replaced Public Address System | Soundproofing of Music Room | Build storage cage for guitars | Installed 100 lockers
ecolehowden,"Redesign classroom 1, 2 and 3 to create two large Kindergarten classroom with washrooms | Student washrooms renovation | Flooring replacement | Window replacement | Doors and frames replacement | Bulkhead construction | Bottle filling station | DDC system | Lighting upgrades | Repave hard surface play area",,Floor tile replacement | Intercom system replacement | Storage cabinet installation | Whiteboard relocation | Shelving installation | Bottle filling station addition | Old water fountains removal | Student services office | Window replacement on the north side of the south hallway | Installed Portable Air Conditioning units
ecolejulieriel,Windows replacement | Staff room renovation | Full Height Cabinet installations in Room 9-12 | Flooring replacement | Air Make Up unit | Boiler replacement | Washrooms renovation | Outdoor storage | Washer and dryer | Upgrade lighting,,Flooring replaced with tile | Replaced flooring in Room 11
ecolemarieannegaboury,Replace Ceiling tiles and lighting in hallways | Repave Hard surface play area | Lane cutout for student drop-off and pick-up | Hand washing sink | DDC system | Flooring replacement | Replace partitions in washrooms,SST space alarm deficiency identified in WPSH reports; work order issued,Convert washroom to gender neutral | Accessible entrance general renovations | Cement step repair | Bulletin boards | Shelving | Sink | White board | Coat hooks | Replaced Flooring in Gymnasium and Library | Rebuild wall in Room #2
ecoleprovencher,Windows replacement for entire school | Lighting upgrades | DDC system | Student washrooms renovation on the third floor | Acoustic material replacement in Gym | Door and frames replacement | Storage room door | Washroom walls refinishing | Doorway widening of second floor washroom | Regrade and reseed the green space,Installation of Air Conditioning,Window safety bars | Extend stairway walls for safety | New gender neutral washroom | Magnetic locks on second floor stairwell doors | Bike cage | Install Bottle Filling Station
ecolestgermain,Staff room renovation | Partitions replacement in change room | Video Intercom System | Two Basketball poles and hoops for outdoor play area | Automatic shutoff faucets in washrooms | Automatic door operators at front and rear entrances | Replace flooring in the School Office | Regrading of soccer field | Create trench for drainage on the North side of the building | 3' fence along north side of staff parking lot to reduce snow drifting and improve stall access,,Rear sidewalk repairs | Sound proofing | Ceiling tile replacement (6 classrooms) | Cubbies for students | White board relocation | Concrete play area repair | Install Bottle Filling Station | Asphalt pathway from parking lot to basketball court
ecolevanbelleghem,Replace Lockers | Lighting upgrade | Operable windows | Asphalt play area replacement | Soundproofing in multi-purpose room | Playground drainage | Main office renovation | Skylights replacement | DDC system | Replace flooring in Music Room | Replace door and frames in the hallway and Exit #3 and #4,,Door and frame replacement | Flooring replacement (library) | General renovations | Flooring replacement (front & rear entrances) | New classroom in library | Library reconfiguration to include kindergarten classroom with washroom | Gender-neutral washrooms | Replaced entrance carpet | Installed Portable Air Conditioning units
ecolevarennes,Elevator | Accessible washroom on each floor | DDC system | Ceiling tiles replacement | Make-up air unit | Flooring | Ceiling and lighting upgrade | Washrooms renovation | Exhaust fan replacement | Paving of Parking lot | Flooring replacement | Windows replacement | Gym ceiling acoustic material removal | Install Air Conditioning,Asphalt repair,Flooring replacement | Electrical plug installation (parking lot) | Intercom system | Automatic door operators | Ramp at library door | Gym mezzanine
frontenac,DDC system | Windows replacement | Washroom and laundry room renovation | Ceiling tiles replacement | Change room renovation | Concrete accessible loading pad | Ramp on east side of the building | Gender Neutral Washrooms,,Window replacement | Step repairs | Ramp repair | Floor tile replacement | Playground asphalt resurfacing | Canopy outside modular classrooms | Concrete sidewalk in the bus loading zone | Upgrade eye wash stations | Repair fracture in the wall between the existing and addition building | School repainting
generalvanier,School grounds redevelopment | Partitions and washroom door replacement | Lockers | Flooring replacement | Library shelves | Demising wall removal | Gender-neutral washrooms | DDC system | Doors replacement | Repainting of the school | Concrete repair | New School Sign | Replace flooring in the Main Office,,Repair wheelchair accessible ramps | Vestibule renovations | Blacktop repair | Library move to main floor
glenlawn,"Elevator installation | DDC system | Metal shops renovation | Lighting and painting upgrade in automotive shop and Junior Woods | Lighting, millwork, and painting upgrade in electronics | Graphic arts renovation | Lighting and stair treads | Lockers replacement | Gender-neutral washroom | Flooring replacement | Main Office Renovation | Replace Classroom doors | Replace flooring in computer labs | Create Gender Neutral Washroom in Gym Foyer",,Enclose junior high lab electrical panel | Door replacement | Foods and nutrition lab | Fire alarm upgrade | Replaced flooring in Room 240 | Renumbering of rooms
glenwood,Washroom renovations | Windows replacement | Exterior painting | Flooring replacement in Basement Hallway | School renumbering | DDC system | Main office renovation | Elevator | Bell tower roof repair | Front entrance ramp | Sink in Kindergarten Classroom | Whole-school air conditioning (postponed from summer 2026),,Chimney repair | Pave parking lot with asphalt | Replaced windows in the west wing | Wall refinishing and repainting | Installed portable air conditioning units
hastings,Air conditioning installation | Cabinets and countertops in canteen,,Portable A/C unit | Coat hooks | Lockable storage cabinet | Boot racks | Intercom call button relocation | Compressor replacement | Exterior wall repair
highbury,Student washrooms renovation | Gym air conditioning | Main floor school office relocation | Windows replacement | Replace cabinets in Room 4 & 5,,Portable A/C unit | Steps repair | Replaced windows on the west side of the building | Installed Fence and added walkpath in the school bus loop | Exterior windows | Wall repair
hspaul,"Staff room renovation | Meeting room window | Flooring replacement in Room 9, 10, 20, 21 | Skylight blind in multi-purpose room | Outdoor storage | School office flooring replacement | Lockers | Food and nutrition lab renovation | Washroom Renovation | Replace flooring in the hallway outside Room 9&10 | Replace flooring in Student Services | Remove cabinetry from the middle of the library",,Dust collector layout reconfiguration and added electrical to accommodate the relocated equipment | Painting of all classrooms | Interlock for dust collector installation | Repainting of the metal roof and metal overhang at the doorway
islandlakes,Library desk trims | Air Make Up unit | Universal washroom upgrade | Canteen renovation | Main entrance benches | Washroom countertop replacements | Entrance flooring replacement | Staff room renovation | Pave rear entrance | Regrade and reseed the are near soccer goal posts,,Shelving installation | Two classrooms added to library | Washrroom Renovations
jhbruns,DDC system | Demising wall installation | Kitchen renovation | Windows replacement | Gym air conditioning | Reconfigure prep rooms | install locks on the hallway doors outside the main office,,Locker replacement | Cupboard removal | Painting | Flooring installation | Gym reconfiguration | Foods and nutrition room refresh | Exterior foundation wall repair | Install 60 lockers
lavallee,Main office renovation | Kitchenette | DDC system | Flooring in maker studio | Washrooms renovation | Ceiling tiles replacement | Learning lab renovation | Parking lot paving | Replace Flooring in Room 3,,Addition of parking lot | Music room complete renovation | Kitchen build | Conversion to classroom | Library flooring replacement
louisrielartstech,"Esthetics salon and computer lab reconfiguration | Culinary arts renovation | Universal washroom | Main office renovation | Tennis court resurfacing | Lockers | Gender-neutral washroom in Gym | Workout room | Elevator installation | DDC system | Auto shop and plumbing shop exhaust system replacement | Ceiling acoustical spray removal/replacement in Gym | Carpeting | Repair ramp outside the parking lot | Create Gender Neutral washroom in the basement, second floor and main floor",Add fob access (culinary arts changeroom),
marion,Doors and frames replacement | School rekeying | DDC system | Interior painting | Staff room renovation | Classrooms renovation | Student washrooms renovation | Parking lot paving | Fence installation | School bus loop | Electrical rewiring | Washrooms renovation | Renovate hallway walls | Replace flooring in the hallway close to Main Entrance,Renovation of Washrooms | Install window in the Principal's Office,Air conditioning (entire school) | Rebuild demising wall between 22 and 24
minnetonka,"Staff room and washrooms renovation | Sink and cabinets replacement in art lab | Millwork replacement | Flooring replacement | Air conditioning | Gender-neutral washroom | Window replacement | Parking lot paving | Window installation | Remove large round sinks in the hallway | Replace ceiling tiles and lighting in the classrooms, community kitchen and hallways | Replace PA System | Replace countertops in Room 15 | Replace flooring in library, Kindergarten | Renovate Band Room | Renumbering of the school",,Cabinets addition | Lockers addition | Resurfacing main entrance | Installed Portable Air Conditioning units
nelsonmcintyre,Flooring replacement | Soundproofing in Band Room | Gender-neutral washrooms | Lighting upgrade | DDC system | Windows replacement | Staff room renovation | Demising wall | School sign replacement | Bottle filling stations | Floor cutting for volleyball standards | Weight room expansion | Kitchen Renovation | Fracture in wall between the main building and addition,,Automatic door opener installation | Basketball court expansion | Floor refinishing | Interlock for dust collector installation | Rooftop units replacement | Replaced flooring in Library | Replace rusty flagpole | Install wall in room 109 | Install Bottle Filling Station
niakwaplace,Student drop-off and pick-up zone | Flooring replacement | Partition replacement | Washrooms renovation | Change room renovation | DDC system | School office renovation | Exterior drainage installation | Fob reader at rear entrance | Stage area renovation in Gym | Supply air and exhaust,,"Asphalt repair | Replaced flooring for Library platform | Replaced counterops, sinks and urinals in Washrooms | Fracture repair in front wall"
nordale,"Air conditioning | Air Make Up unit | Main office renovation | Art lab renovation | Replace Lockers | Replace flooring in Room 11, Office, Library and Photocopier Space | Repair concrete",,Door & frame replacement | Renovate Staff Room | Installed Portable Air Conditioning units
sagecreek,Parking lot expansion | Sump pump spout diversion | Floor drain repair | Concrete bollards removal | School grounds redevelopment,,Lower washroom fixture height | Remove temporary partitions in commons area | Reinstall equipment in makerspace and teacher space in kitchen | Additional access door | Reconfigure Classroom 139 and 140 to Makers Studio and Classroom 141 to Home Ecology
samuelburland,Universal washroom | Plumbing removal | Air Make Up unit | Windows replacement | Acoustic material removal | Staff room renovation | Ceiling tiles replacement | Partitions replacements | Boot racks installation | Privacy door in shower area | School rekeying | Exterior wall repair | Parking lot expansion | Flooring replacement,,Ceiling track installation | Flooring replacement | Sidewalk repair | Hallway cabinets | Add doorway to classroom 18 from the main hallway | Install cabinets along south wall
shamrock,Gender-neutral washrooms | DDC system | Parking reconfiguration and parent drop-off zone | School office renovation | Accordion wall removal and permanent wall construction | Millwork and ceiling replacement | Gym office spaces renovation | Lockers replacement | Hallways painting,,"Removal of counters, sinks, cupboards (old science lab) | New foods and nutrition lab construction | Universal washroom update | Ceiling track installation, Door & frame replacement | Plumbing improvements | Lockers (75) | Remove Berm | Install Bottle Filling Station"
stgeorge,Play structure | Staff parking lot expansion | Windows replacement | Kindergarten Room renovation | Flooring replacement in classrooms | Air conditioning | Student drop-off and pick-up zone | School office renovation | Staff room renovation | Install glass blocks in washrooms | Upgrade lighting and replace door and frame at the Entryway,,Floor refinishing | General renovations | Cabinet installation | Installed Portable Air Conditioning units | Installed glass blocks in the Stairwell
victorhlwyatt,Staff room renovation | School office renovation | Basketball court renewal | Gym bleachers replacement | Air conditioning | Parking lot paving | Wood shop renovation | Metals shop renovation | Graphic arts renovation | Countertop replacement in student services office | Locker replacement | Add school bus loop | Refresh Sensory space | Replace  second floor hallway flooring | Staff Washroom Renovation | REplace French doors with permanent wall | Reconfigure Student Services Office,,Flooring tile installation | Repaint floors | Door & frame replacement | Replaced flooring in Kindegarten
victormager,Air conditioning in south wing and Gym | Gym bleachers | Electronic board and school sign replacement | Lockers | Parking lot paving | School bus loop | Ceiling and lights | Universal washroom | Millwork replacement in family centre | Classrooms renovation,,Cabinet removal | Lockers for staff | General repairs (front entrance) | Room reconfiguration for washer & dryer | Toilet & sink installation | install Signboard hinge system | Installed Portable Air Conditioning units | Install ramp | Repair entrance sign and soffit framing
windsor,Sidelights in classrooms | Front entrance ramp | Universal washroom | Classroom reconfiguration into movement room | Sink | Washrooms renovation | Staff washroom renovation | Window in main office,,Parking lot paving | General renovations | Door replacement | Replaced Hallway Entrance Flooring
windsorpark,Gym floor refinishing | Foods and nutrition labs renovation | School rekeying | Windows replacement | Replace soffit and fascia around Gym | Repair Main Entrance concrete,Science classroom,Lighting Retrofit
